[2026-04-24 02:00:39] Starting retry crawl for error products...
[2026-04-24 02:00:39] Input file: /home/buiphamhoaithanh/crawl_output/retry_error.jsonl
[2026-04-24 02:05:31] QUEUE product_id=90879 retry=0
[2026-04-24 02:05:31] QUEUE product_id=91060 retry=0
[2026-04-24 02:05:31] QUEUE product_id=96640 retry=0
[2026-04-24 02:05:31] QUEUE product_id=102545 retry=0
[2026-04-24 02:05:31] QUEUE product_id=92793 retry=0
[2026-04-24 02:05:31] QUEUE product_id=108525 retry=0
[2026-04-24 02:05:31] QUEUE product_id=98265 retry=0
[2026-04-24 02:05:31] QUEUE product_id=85894 retry=0
[2026-04-24 02:05:31] QUEUE product_id=89606 retry=0
[2026-04-24 02:05:31] QUEUE product_id=101986 retry=0
[2026-04-24 02:05:31] QUEUE product_id=102614 retry=0
[2026-04-24 02:05:31] QUEUE product_id=97107 retry=0
[2026-04-24 02:05:31] QUEUE product_id=84767 retry=0
[2026-04-24 02:05:31] QUEUE product_id=92469 retry=0
[2026-04-24 02:05:33] STATUS product_id=97371 status=403
[2026-04-24 02:05:33] RETRY product_id=97371 reason=status_403 sleep=3.88s
[2026-04-24 02:05:33] ACQUIRED product_id=90879 retry=0
[2026-04-24 02:05:36] STATUS product_id=90879 status=403
[2026-04-24 02:05:36] RETRY product_id=90879 reason=status_403 sleep=3.84s
[2026-04-24 02:05:36] ACQUIRED product_id=91060 retry=0
[2026-04-24 02:05:37] QUEUE product_id=97371 retry=1
[2026-04-24 02:05:39] STATUS product_id=91060 status=403
[2026-04-24 02:05:39] RETRY product_id=91060 reason=status_403 sleep=3.72s
[2026-04-24 02:05:39] ACQUIRED product_id=96640 retry=0
[2026-04-24 02:05:40] QUEUE product_id=90879 retry=1
[2026-04-24 02:05:42] STATUS product_id=96640 status=404
[2026-04-24 02:05:42] ACQUIRED product_id=102545 retry=0
[2026-04-24 02:05:42] FINISHED product_id=96640 status=failed
[2026-04-24 02:05:43] QUEUE product_id=91060 retry=1
[2026-04-24 02:05:45] STATUS product_id=102545 status=404
[2026-04-24 02:05:45] ACQUIRED product_id=92793 retry=0
[2026-04-24 02:05:45] FINISHED product_id=102545 status=failed
[2026-04-24 02:05:50] STATUS product_id=92793 status=200
[2026-04-24 02:05:50] ACQUIRED product_id=108525 retry=0
[2026-04-24 02:05:50] FINISHED product_id=92793 status=success
[2026-04-24 02:05:54] STATUS product_id=108525 status=403
[2026-04-24 02:05:54] RETRY product_id=108525 reason=status_403 sleep=3.72s
[2026-04-24 02:05:54] ACQUIRED product_id=98265 retry=0
[2026-04-24 02:05:56] STATUS product_id=98265 status=403
[2026-04-24 02:05:56] RETRY product_id=98265 reason=status_403 sleep=3.51s
[2026-04-24 02:05:56] ACQUIRED product_id=85894 retry=0
[2026-04-24 02:05:57] QUEUE product_id=108525 retry=1
[2026-04-24 02:05:59] STATUS product_id=85894 status=404
[2026-04-24 02:05:59] ACQUIRED product_id=89606 retry=0
[2026-04-24 02:05:59] FINISHED product_id=85894 status=failed
[2026-04-24 02:06:00] QUEUE product_id=98265 retry=1
[2026-04-24 02:06:02] STATUS product_id=89606 status=404
[2026-04-24 02:06:02] ACQUIRED product_id=101986 retry=0
[2026-04-24 02:06:02] FINISHED product_id=89606 status=failed
[2026-04-24 02:06:06] STATUS product_id=101986 status=404
[2026-04-24 02:06:06] ACQUIRED product_id=102614 retry=0
[2026-04-24 02:06:06] FINISHED product_id=101986 status=failed
[2026-04-24 02:06:10] STATUS product_id=102614 status=403
[2026-04-24 02:06:10] RETRY product_id=102614 reason=status_403 sleep=3.68s
[2026-04-24 02:06:10] ACQUIRED product_id=97107 retry=0
[2026-04-24 02:06:14] STATUS product_id=97107 status=403
[2026-04-24 02:06:14] RETRY product_id=97107 reason=status_403 sleep=3.73s
[2026-04-24 02:06:14] ACQUIRED product_id=84767 retry=0
[2026-04-24 02:06:14] QUEUE product_id=102614 retry=1
[2026-04-24 02:06:17] QUEUE product_id=97107 retry=1
[2026-04-24 02:06:19] STATUS product_id=84767 status=200
[2026-04-24 02:06:19] ACQUIRED product_id=92469 retry=0
[2026-04-24 02:06:19] FINISHED product_id=84767 status=success
[2026-04-24 02:06:23] STATUS product_id=92469 status=403
[2026-04-24 02:06:23] RETRY product_id=92469 reason=status_403 sleep=3.82s
[2026-04-24 02:06:23] ACQUIRED product_id=97371 retry=1
[2026-04-24 02:06:27] QUEUE product_id=92469 retry=1
[2026-04-24 02:06:29] STATUS product_id=97371 status=200
[2026-04-24 02:06:29] ACQUIRED product_id=90879 retry=1
[2026-04-24 02:06:29] FINISHED product_id=97371 status=success
[2026-04-24 02:06:32] STATUS product_id=90879 status=403
[2026-04-24 02:06:32] ACQUIRED product_id=91060 retry=1
[2026-04-24 02:06:32] FINISHED product_id=90879 status=failed
[2026-04-24 02:06:36] STATUS product_id=91060 status=404
[2026-04-24 02:06:36] ACQUIRED product_id=108525 retry=1
[2026-04-24 02:06:36] FINISHED product_id=91060 status=failed
[2026-04-24 02:06:39] STATUS product_id=108525 status=403
